FinalIDassigned,BCG,Habitat,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TrophicState,ZHR,CRUS,Green,Salinity2,NitrogenUptakeMetabolism2,Phylum,Class,Order,Family,Genus,Notes
Protoderma viride,3,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Protoderma,
Psammodictyon,NA,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Psammodictyon,
Psammodictyon constrictum,NA,BN,NA,NA,NA,NA,NA,NA,HM,NAHON,DO_50,B,AM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Psammodictyon,
Psammothidium,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium abundans,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium bioretii,NA,BN,NA,NA,NA,NA,high,NA,NM,NALON,DO_100,FB,OS,M,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium chlidanos,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium curtissimum,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium daonense,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium didymum,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium helveticum,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium lacus-vulcani,NA,BN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium lauenburgianum,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidaceae,Psammothidium,
Psammothidium levanderi,2,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium marginulatum,2,BN,NA,NA,NA,NA,low,NA,NM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium rechtensis,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium rosenstockii,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium rossii,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium sacculum,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium scoticum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium semiapertum,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium subatomoides,3,BN,NA,NA,NA,NA,high,NA,NM,NALON,DO_100,F,OS,OM,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Pseudanabaena,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,
Pseudanabaena catenata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,
Pseudanabaena mucicola,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,
Pseudocharaciopsis,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Ochrophyta,Eustigmatophyceae,Eustigmatales,Pseudocharaciopsidaceae,Pseudocharaciopsis,
Pseudocharaciopsis minuta,3,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Ochrophyta,Eustigmatophyceae,Eustigmatales,Pseudocharaciopsidaceae,Pseudocharaciopsis,
Pseudostaurosira,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira brevistriata,3,BN,NA,NA,NA,NA,low,high,NM,NALON,DO_100,FB,OS,I,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira elliptica,5,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,FB,BM,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira microstriata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira neoelliptica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira parasitica,4,BN,NA,NA,NA,NA,high,high,NM,NALON,DO_100,FB,BM,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira parasitica var subconstricta,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira pseudoconstruens,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira robusta,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira subsalina,3,BN,NA,NA,NA,NA,NA,NA,NM,NAHON,DO_100,BF,OS,ME,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira trainorii,4,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosiropsis,NA,NA,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosiropsis,
Pseudostaurosiropsis connecticutensis,NA,NA,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosiropsis,
Pteromonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Chlamydomonadales,Phacotaceae,Pteromonas,
Pteromonas aequiciliata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Chlamydomonadales,Phacotaceae,Pteromonas,
Punctastriata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Punctastriata,
Punctastriata mimetica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Punctastriata,
Puncticulata bodanica,NA,P,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Puncticulata,
Puncticulata comta,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Puncticulata,
Puncticulata radiosa,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Puncticulata,
Quadrigula,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Quadrigula,
Quadrigula closterioides,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Quadrigula,
Radiococcus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,Radiococcus,
Radiococcus planktonicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,Radiococcus,
Radiofilum,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Ulvophyceae,Ulotrichales,Gloeotilaceae,Radiofilum,
Radiofilum conjunctivum,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Ulvophyceae,Ulotrichales,Gloeotilaceae,Radiofilum,
Reimeria,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Reimeria,
Reimeria sinuata,2,BN,NA,NA,NA,NA,low,low,NM,NAHON,DO_100,FB,BM,M,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Reimeria,
Reimeria uniseriata,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Reimeria,
Rhabdoderma,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Rhabdoderma,
Rhabdoderma vermiculare,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Rhabdoderma,
Rhabdogloea,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Rhabdogloea,
Rhabdogloea linearis,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Rhabdogloea,
Rhizoclonium,NA,NA,No,high,high,NRF,high,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Rhizoclonium,
Rhizoclonium crassipellitum,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Rhizoclonium,
Rhizoclonium hieroglyphicum,5,NA,No,high,high,NRF,high,NI,NA,NA,NA,NA,NA,NA,no,yes,yes,NA,NA,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Rhizoclonium,
Rhodomonas,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cryptophyta,Cryptophyceae,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,
Rhodostichus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Rhodostichus,
Rhodostichus expansus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Rhodostichus,
Rhoicosphenia,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Rhoicosphenia,
Rhoicosphenia abbreviata,3,BN,NA,NA,NA,NA,high,high,NM,NAHON,DO_75,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Rhoicosphenia,
Rhoicosphenia californica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Rhoicosphenia,
Rhoicosphenia lowei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Rhoicosphenia,
Rhoicosphenia stoermeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Rhoicosphenia,
Rhopalodia,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia acuminata,3,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia brebissonii,NA,BN,NA,NA,NA,NA,low,low,MM,NA,NA,BF,NA,NA,NA,NA,NA,Halo,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia constricta,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia gibba,2,BN,NA,NA,NA,NA,low,high,MM,NALON,DO_50,FB,BM,E,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia gibba var minuta,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia gibba var parallela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia gibba var ventricosa,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia gibberula,3,BN,NA,NA,NA,NA,low,high,MM,NA,DO_100,BF,NA,NA,NA,NA,NA,Halo,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia musculus,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,B,OS,NA,NA,NA,NA,Halo,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia operculata,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia rupestris,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,NA,
Rivularia,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,
Rivularia aquatica,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,
Rivularia atra,NA,NA,Yes,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,
Rivularia biasolettiana,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,
Rivularia globiceps,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,
Rivularia haematites,NA,NA,Yes,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,
Rivularia manginii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,
Rivularia minutula,NA,NA,Yes,NI,NI,NI,NI,low,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,
Rivularia polyotis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,
Rivulariaceae,NA,NA,Yes,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,NA,
Rossithidium,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium,
Rossithidium anastasiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cocconeidales,Achnanthidiaceae,Rossithidium,
Rossithidium duthiei,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium,
Rossithidium linearis,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium,
Rossithidium nodosum,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium,
Rossithidium petersennii,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium,
Rossithidium pusillum,2,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,FB,OS,O,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium,
Roya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Zygnematophyceae,Zygnematales,Mesotaeniaceae,Roya,
Roya cambrica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Zygnematophyceae,Zygnematales,Mesotaeniaceae,Roya,
Scenedesmus,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus abundans,5,NA,No,high,high,NRF,NI,high,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus aculeolatus,3,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus acuminatus,4,NA,No,NI,NI,NI,NI,high,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus acutiformis,4,NA,No,NI,NI,NI,high,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus apiculatus,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus arcuatus,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus arcuatus var platydisca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus armatus,4,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus armatus var bicaudatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus arthrodesmiformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus balatonicus,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus bicaudatus,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus brasiliensis,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus brevispina,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus caudato-aculeolatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus circumfusus,3,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus circumfusus var bicaudatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
Scenedesmus communis,5,NA,No,high,high,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,
